name,clinical trial,accession number,smiles,categories,unii,cas number,kegg drug,pubchem compound,chemspider,bindingdb,rxnav,chebi,chembl,therapeutic targets database,pharmgkb,zinc
Reidispongiolide C,Not Available,DB04775,[H]/C1=C([H])\C(=O)O[C@]([H])([C@@]([H])(C)[C@@]([H])(OC)[C@@]([H])(C)CCC(=O)[C@]([H])(C)[C@@]([H])(CCC(O)=O)OC)[C@@]([H])(C)\C([H])=C([H])\[C@@]([H])(C[C@]([H])(OC)[C@@]([H])(C)\C([H])=C([H])\[C@]([H])(C[C@]([H])(OC)[C@@]([H])(C)[C@@]2([H])CC(C[C@@]([H])(C\C(C)=C\1/[H])OC)=CC(=O)O2)OC)OC,,,,,52946592.0,26354100.0,,,,,,,ZINC000263620951
(2R)-2-({6-[benzyl(methyl)amino]-9-isopropyl-9H-purin-2-yl}amino)butan-1-ol,Not Available,DB04776,[H][C@@](CC)(CO)NC1=NC2=C(N=CN2C(C)C)C(=N1)N(C)CC1=CC=CC=C1,"Heterocyclic Compounds, Fused-Ring / Purines",,,,5289296.0,4451290.0,10909.0,,,CHEMBL1235702,,,ZINC000012504508
(R)-4-Nitrostyrene oxide,Not Available,DB04777,[O-][N+](=O)C1=CC=C(C=C1)[C@@H]1CO1,,,78038-43-4,,1237170.0,1039557.0,,,,,,,ZINC000001020829
SC45647,Not Available,DB04778,C[C@@H](N[C@@H](NCC(O)O)NC1=CC=C(CN)C=C1)C1=CC=CC=C1,Amidines / Sweetening Agents,,,,21158881.0,20119232.0,,,45412.0,,,,ZINC000019331258
ETHYL (1E)-2-PHENYL-N-(SULFOOXY)ETHANIMIDOTHIOATE,Not Available,DB04779,CCS\C(CC1=CC=CC=C1)=N/OS(O)(=O)=O,,,,,9600421.0,7874560.0,,,,,,,ZINC000012504511
Sulfatide,Not Available,DB04780,CCCCCCCCCCCCCCCCCCCCCC[C@@H](O)C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OS(O)(=O)=O)[C@H]1O)[C@H](O)\C=C\CCCCCCCCCCCCC,,,,,5459389.0,4573177.0,,,76069.0,,,,ZINC000096006133
5-hydroxyvaleric acid,Not Available,DB04781,OCCCCC(O)=O,"Acids, Acyclic / Fatty Acids / Fatty Acids, Volatile / Lipids",,13392-69-3,,25945.0,24171.0,,,45564.0,CHEMBL1205948,,,ZINC000001529525
(S)-4-Nitrostyrene oxide,Not Available,DB04782,[O-][N+](=O)C1=CC=C(C=C1)[C@H]1CO1,,,78038-42-3,,1237169.0,1039556.0,,,,,,,ZINC000001020828
Sphinxolide B,Not Available,DB04783,CO[C@H](C\C=C\N(C)C=O)[C@@H](C)C(=O)CC[C@H](C)[C@H](OC)[C@H](C)[C@H]1OC(=O)\C=C\C=C(C)/C[C@H](CC2=CC(=O)O[C@H]([C@H]2O)[C@H](C)[C@H](C[C@H](OC)\C=C\[C@H](C)[C@@H](O)C[C@@H](OC)\C=C\[C@@H]1C)OC)OC,,,,,46937020.0,26330329.0,,,,CHEMBL1615234,,,ZINC000263614119
(R)-1-phenylethanol,Not Available,DB04784,C[C@@H](O)C1=CC=CC=C1,,36N222W94B,1517-69-7,,637516.0,553122.0,,,45616.0,CHEMBL151062,,,ZINC000000896626
Streptolydigin,Not Available,DB04785,[H][C@@]1([C@H](C)C(=O)NC)N([C@@H]2CC[C@H](O)[C@H](C)O2)C(=O)\C(=C(\O)/C=C/C(/C)=C/[C@@H](C)[C@@]2([H])O[C@@]3(C)O[C@H](C=C[C@@]33CO3)[C@@H]2C)C1=O,Anti-Bacterial Agents / Anti-Infective Agents / Carbohydrates / Glycosides,6MON4029Q8,7229-50-7,,54708748.0,21270076.0,,,45773.0,CHEMBL1236068,,,ZINC000169363256
Suramin,Not Available,DB04786,CC1=C(NC(=O)C2=CC(NC(=O)NC3=CC=CC(=C3)C(=O)NC3=C(C)C=CC(=C3)C(=O)NC3=C4C(C=C(C=C4S(O)(=O)=O)S(O)(=O)=O)=C(C=C3)S(O)(=O)=O)=CC=C2)C=C(C=C1)C(=O)NC1=C2C(C=C(C=C2S(O)(=O)=O)S(O)(=O)=O)=C(C=C1)S(O)(=O)=O,"Acids / Acids, Noncarboxylic / Agents Against Leishmaniasis and Trypanosomiasis / Anti-Infective Agents / Antinematodal Agents / Antineoplastic Agents / Antiparasitic Agents / Antiparasitic Products, Insecticides and Repellents / Antiprotozoals / Arylsulfonates / Arylsulfonic Acids / Naphthalenes / Naphthalenesulfonates / Sulfonic Acids / Sulfur Acids / Sulfur Compounds / Trypanocidal Agents",6032D45BEM,145-63-1,,5361.0,5168.0,50336799.0,10256.0,45906.0,CHEMBL265502,DAP001031,PA10292,
Tanaproget,Not Available,DB04787,CN1C(=CC=C1C1=CC=C2NC(=S)OC(C)(C)C2=C1)C#N,"Heterocyclic Compounds, Fused-Ring / Oxazines / Receptors, Progesterone, agonists / Sulfur Compounds",W9F9H8GXWR,304853-42-7,,4369524.0,3572060.0,50375821.0,,,CHEMBL539163,DPR000116,,ZINC000006245719
Tagetitoxin,Not Available,DB04788,[H]N([H])[C@H]1[C@@H](OC(C)=O)[C@@]2([H])O[C@](CS[C@@]2(O)C(=O)N([H])[H])([C@@H]1OP(O)(O)=O)C(O)=O,"Acids, Acyclic / Bacterial Toxins",,87913-21-1,,5327077.0,4484333.0,,,,,,,ZINC000012504512
5-methyltetrahydrofolic acid,Not Available,DB04789,CN1C(CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)N=C(N)N2,"Biological Factors / Coenzymes / Enzymes and Coenzymes / Folic Acid and Derivatives / Heterocyclic Compounds, Fused-Ring / Pigments, Biological / Pteridines / Pterins / Vitamin B Complex / Vitamins",TYK22LML8F,134-35-0,,9825434.0,8001181.0,,1313966.0,,CHEMBL1221561,,,
"2,5-bis-O-{3-[amino(imino)methyl]phenyl}-1,4:3,6-dianhydro-D-glucitol",Not Available,DB04790,[H][C@]1(CO[C@]2([H])[C@]([H])(CO[C@]12[H])OC1=CC=CC(=C1)C(N)=N)OC1=CC(=CC=C1)C(N)=N,,,,,5326924.0,4484207.0,,,,,,,ZINC000003990712
"2-O-(4'-AMIDINOPHENYL)-5-O-(3''-AMIDINOPHENYL)-1,4:3,6-DIANHYDRO-D-SORBITOL",Not Available,DB04791,[H][C@@]1(CO[C@]2([H])[C@@]([H])(CO[C@]12[H])OC1=CC=CC(=C1)C(N)=N)OC1=CC=C(C=C1)C(N)=N,,,,,5326925.0,4484208.0,,,,,,,ZINC000001491358
"2,5-O,O-BIS-{4',4''-AMIDINOPHENYL}-1,4:3,6-DIANHYDRO-D-SORBITOL",Not Available,DB04792,[H][C@]1(CO[C@]2([H])[C@]([H])(CO[C@]12[H])OC1=CC=C(C=C1)C(N)=N)OC1=CC=C(C=C1)C(N)=N,,,,,5326926.0,4484209.0,,,,,,,ZINC000012504513
"1,4:3,6-Dianhydro-2-O-(3-carbamimidoylphenyl)-5-O-(4-carbamimidoylphenyl)-D-glucitol",Not Available,DB04793,[H]N=C(N([H])[H])C1=CC=C(O[C@@H]2CO[C@]3([H])[C@H](CO[C@]23[H])OC2=CC=CC(=C2)C(=N[H])N([H])[H])C=C1,,,,,5326927.0,4484210.0,,,,,,,ZINC000003990709
Thenoyltrifluoroacetone,Not Available,DB04795,FC(F)(F)C(=O)CC(=O)C1=CC=CS1,"Butanones / Chelating Agents / Compounds used in a research, industrial, or household setting / Ketones / Sequestering Agents / Sulfur Compounds / Thiophenes",MYQ9MNW7NI,326-91-0,,5601.0,5399.0,,,,CHEMBL1236433,,,ZINC000100004957
Inecalcitol,Not Available,DB04796,[H][C@@]1(CC[C@]2([H])\C(CCC[C@]12C)=C\C=C1C[C@@H](O)C[C@H](O)C1)[C@H](C)CC#CC(C)(C)O,"Cholestanes / Cholestenes / Fused-Ring Compounds / Hydrocarbons, Acyclic / Lipids / Membrane Lipids / Secosteroids / Steroids / Sterols / Vitamin D and Analogues / Vitamins / Vitamins (Fat Soluble)",05FZV98342,163217-09-2,,6915835.0,5291648.0,,,,CHEMBL2105107,,,ZINC000012504514
Triazolopyridine,Not Available,DB04797,CC(C)C1=NN=C2C=CC(=CN12)C1=C(N=CO1)C1=CC=C(F)C=C1,,,,,5289514.0,4451466.0,15414.0,,46746.0,CHEMBL194322,,,ZINC000001491604
THIO-ATPA,Not Available,DB04798,[H][C@]([NH3+])(CC1=C(SN=C1[O-])C(C)(C)C)C(O)=O,"Amino Acids / Amino Acids, Peptides, and Proteins / Sulfur Compounds",,,,5289517.0,4451469.0,50126761.0,,,CHEMBL29024,,,ZINC000000008933
"6-Hydroxy-5-undecyl-4,7-benzothiazoledione",Not Available,DB04799,CCCCCCCCCCCC1=C(O)C(=O)C2=C(N=CS2)C1=O,Sulfur Compounds,,43152-58-5,,3016416.0,20082687.0,,,,,,,ZINC000014881301
1-METHYL-3-PHENYL-1H-PYRAZOL-5-YLSULFAMIC ACID,Not Available,DB04800,CN1N=C(C=C1NS(O)(=O)=O)C1=CC=CC=C1,,,,,5327154.0,4484396.0,13529.0,,,,,,ZINC000012504518
cis-Vaccenic acid,Not Available,DB04801,CCCCCC\C=C/CCCCCCCCCC(O)=O,"Fatty Acids / Fatty Acids, Monounsaturated / Fatty Acids, Unsaturated / Lipids",400K7322UW,506-17-2,,5282761.0,4445888.0,,,50464.0,CHEMBL1236642,,,ZINC000014881303
"D-Erythro-2,3-diaminobutyric acid",Not Available,DB04802,C[C@@H](N)[C@@H](N)C(O)=O,,60CFB2VK6V,25023-78-3,,14221359.0,25059111.0,,,,,,,ZINC000095483612
Verdoheme,Not Available,DB04803,CC1=CC2=CC3=[N+]4C(=CC5=C(C=C)C(C)=C6OC7=C(C=C)C(C)=C8C=C1N2[Fe]4(N56)N78)C(C)=C3CCC(O)=O,"Biological Factors / Heterocyclic Compounds, Fused-Ring / Metalloporphyrins / Pigments, Biological / Porphyrins",,,,131704289.0,,,,,,,,
"(2S)-2,3-Diaminobutanoic acid",Not Available,DB04804,C[C@@H](N)[C@H](N)C(O)=O,,0CA9BP8DFV,25023-80-7,,11073394.0,9248543.0,,,,,,,ZINC000095483610
Virginiamycin S1,Not Available,DB04805,[H][C@@]12CCCN1C(=O)[C@@H](CC)NC(=O)[C@@H](NC(=O)C1=NC=CC=C1O)[C@@H](C)OC(=O)[C@@H](NC(=O)[C@]1([H])CC(=O)CCN1C(=O)[C@]([H])(CC1=CC=CC=C1)N(C)C2=O)C1=CC=CC=C1,"Amino Acids, Peptides, and Proteins / Peptides / Peptides, Cyclic / Streptogramins",J91D5GN5AT,23152-29-6,,5388936.0,4534976.0,,,46416.0,CHEMBL1236684,,,ZINC000094313271
(5-BROMO-4-CHLORO-3-INDOLYL)-A-D-MANNOSE,Not Available,DB04806,OC[C@H]1O[C@H](OC2=CNC3=C2C(Cl)=C(Br)C=C3)[C@@H](O)[C@@H](O)[C@@H]1O,,,,,5289587.0,4451522.0,,,75501.0,,,,ZINC000012153280
4-NITROPHENYL-(6-S-ALPHA-D-XYLOPYRANOSYL)-BETA-D-GLUCOPYRANOSIDE,Not Available,DB04807,O[C@@H]1CO[C@H](SC[C@H]2O[C@@H](OC3=CC=C(C=C3)[N+]([O-])=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O,,,,,6102810.0,4810311.0,,,,,,,ZINC000012504521
Neamine,Not Available,DB04808,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,Agents that produce neuromuscular block (indirect) / Aminoglycoside Antibacterials / Anti-Bacterial Agents / Carbohydrates / Drugs that are Mainly Renally Excreted / Drugs that are Mainly Renally Excreted with Narrow Therapeutic Index / Glycosides / Narrow Therapeutic Index Drugs / Nephrotoxic agents,5981U00LY0,3947-65-7,,72392.0,65325.0,8580.0,,7489.0,CHEMBL427409,DNC001004,,ZINC000004095654
SALOPHEN-10-PROPIONATE IRON CHELATE,Not Available,DB04809,[Fe+4].[H]\C(=N/C1=C(C=C(CCC(O)=O)C=C1)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],,,,,131704291.0,22378535.0,,,,,,,
Salophen-10-carboxylate iron chelate,Not Available,DB04810,[Fe+4].[H]\C(=N/C1=C(C=C(C=C1)C(O)=O)/N=C(\[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],,,,,131704292.0,25058923.0,,,,,,,
Salophen iron chelate,Not Available,DB04811,[Fe+4].[H]\C(=N/C1=CC=CC=C1\N=C(/[H])C1=CC=CC=C1[O-])C1=CC=CC=C1[O-],,,,,131704294.0,22378537.0,,,,,,,
Bunamiodyl,Not Available,DB04814,CCCC(=O)NC1=C(I)C=C(I)C(\C=C(/CC)C(O)=O)=C1I,,IX9VVF69JR,1233-53-0,,6436657.0,4941281.0,,,135861.0,CHEMBL2110636,,,ZINC000004215131
Iproniazid,Not Available,DB04818,CC(C)NNC(=O)C1=CC=NC=C1,"Agents that produce hypertension / Agents that reduce seizure threshold / Antidepressive Agents / Central Nervous System Agents / Central Nervous System Depressants / Cytochrome P-450 CYP2C9 Inhibitors / Cytochrome P-450 CYP2C9 Inhibitors (moderate) / Cytochrome P-450 CYP2D6 Inhibitors / Cytochrome P-450 CYP2D6 Inhibitors (strength unknown) / Cytochrome P-450 Enzyme Inhibitors / Enzyme Inhibitors / Hydrazines / Isonicotinic Acids / Monoamine Oxidase A Inhibitors for interaction with Monoamine Oxidase A substrates / Monoamine Oxidase Inhibitors / Monoamine Oxidase Inhibitors, Non-Selective / Nervous System / Psychoanaleptics / Psychotropic Drugs / Pyridines / Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome",D892HFI3XA,54-92-2,D02579,3748.0,3617.0,29136.0,5981.0,5958.0,CHEMBL92401,,,ZINC000000001579
Methapyrilene,Not Available,DB04819,CN(C)CCN(CC1=CC=CS1)C1=NC=CC=C1,Amines / Aminopyridines / Anti-Allergic Agents / Antihistamines for Systemic Use / Central Nervous System Agents / Central Nervous System Depressants / Diamines / Ethylenediamines / Histamine Agents / Histamine Antagonists / Histamine H1 Antagonists / Hypnotics and Sedatives / Neurotransmitter Agents / Polyamines / Pyridines / Substituted Ethylene Diamines,A01LX40298,91-80-5,,8667.0,3956.0,81469.0,6822.0,6820.0,CHEMBL1411979,,,ZINC000002510048
Oxyphenisatin,Not Available,DB04823,OC1=CC=C(C=C1)C1(C(=O)NC2=CC=CC=C12)C1=CC=C(O)C=C1,"Alimentary Tract and Metabolism / Contact Laxatives / Drugs for Constipation / Gastrointestinal Agents / Heterocyclic Compounds, Fused-Ring / Indoles / Laxatives",3BT0VQG2GQ,125-13-3,,31315.0,29053.0,50208447.0,8136.0,135358.0,CHEMBL245807,,,ZINC000004217234
Zomepirac,Not Available,DB04828,CN1C(CC(O)=O)=CC(C)=C1C(=O)C1=CC=C(Cl)C=C1,"Acetic Acid Derivatives and Related Substances / Agents causing hyperkalemia / Agents that produce hypertension / Analgesics / Analgesics, Non-Narcotic / Anti-Inflammatory Agents / Anti-Inflammatory Agents, Non-Steroidal / Antiinflammatory and Antirheumatic Products / Antiinflammatory and Antirheumatic Products, Non-Steroids / Antirheumatic Agents / Central Nervous System Agents / Cytochrome P-450 CYP3A Substrates / Cytochrome P-450 CYP3A4 Substrates / Cytochrome P-450 Substrates / Musculo-Skeletal System / Nephrotoxic agents / Non COX-2 selective NSAIDS / Peripheral Nervous System Agents / Sensory System Agents",822G987U9J,33369-31-2,,5733.0,5531.0,50027952.0,39994.0,35859.0,CHEMBL19490,,PA166049188,ZINC000000057537
Lysergic acid diethylamide,Not Available,DB04829,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N(CC)CC,"Agents that produce hypertension / Alkaloids / Antidepressive Agents / Central Nervous System Agents / Central Nervous System Depressants / Cytochrome P-450 CYP2D6 Substrates / Cytochrome P-450 CYP3A Substrates / Cytochrome P-450 CYP3A4 Substrates / Cytochrome P-450 Substrates / Ergolines / Ergot Alkaloids and Derivatives / Hallucinogens / Heterocyclic Compounds, Fused-Ring / Lysergic Acid / Neurotransmitter Agents / Psychotropic Drugs / Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome / Serotonin 5-HT2 Receptor Agonists / Serotonin Agents / Serotonin Receptor Agonists / Serotonin Receptor Antagonists",8NA5SWF92O,50-37-3,,5761.0,5558.0,21342.0,,6605.0,CHEMBL263881,,,ZINC000096903803
Buformin,phase 1 complete,DB04830,CCCC\N=C(/N)N=C(N)N,Alimentary Tract and Metabolism / Amidines / Biguanides / Blood Glucose Lowering Agents / Drugs Used in Diabetes / Guanidines / OCT1 substrates,W2115E9C7B,692-13-7,D00595,2468.0,2374.0,,,3209.0,CHEMBL39736,,,ZINC000004097425
Tienilic acid,Not Available,DB04831,OC(=O)COC1=C(Cl)C(Cl)=C(C=C1)C(=O)C1=CC=CS1,"Acetates / Acids, Acyclic / Antigout Preparations / Antihypertensive Agents / Antirheumatic Agents / Aryloxyacetic Acid Derivatives / Cardiovascular Agents / Cytochrome P-450 CYP2C9 Inhibitors / Cytochrome P-450 CYP2C9 Inhibitors (strength unknown) / Cytochrome P-450 Enzyme Inhibitors / Diuretics / Fatty Acids / Fatty Acids, Volatile / Glycolates / High-Ceiling Diuretics / Hydroxy Acids / Lipids / Natriuretic Agents / Phenoxyacetates / Renal Agents / Sulfur Compounds / Thiophenes / Uricosuric Agents",HC95205SY4,40180-04-9,D02386,38409.0,35204.0,50090674.0,,9590.0,CHEMBL267744,,,ZINC000000002166
Methaqualone,Not Available,DB04833,CC1=CC=CC=C1N1C(C)=NC2=CC=CC=C2C1=O,"Central Nervous System Agents / Central Nervous System Depressants / Cytochrome P-450 CYP3A Substrates / Cytochrome P-450 CYP3A4 Substrates / Cytochrome P-450 Substrates / Heterocyclic Compounds, Fused-Ring / Hypnotics and Sedatives / Muscle Relaxants / Muscle Relaxants, Centrally Acting Agents / Nervous System / Psycholeptics / Quinazolines / Quinazolinones",7ZKH8MQW6T,72-44-6,D00557,6292.0,6055.0,50089081.0,6823.0,6821.0,CHEMBL282052,,,ZINC000002568176
Amineptine,Not Available,DB04836,OC(=O)CCCCCCNC1C2=CC=CC=C2CCC2=CC=CC=C12,"Agents that produce hypertension / Agents that reduce seizure threshold / Antidepressive Agents / Antidepressive Agents, Tricyclic / Benzocycloheptenes / Central Nervous System Agents / Central Nervous System Depressants / Narrow Therapeutic Index Drugs / Nervous System / Neurotoxic agents / Non-Selective Monoamine Reuptake Inhibitors / Psychoanaleptics / Psychotropic Drugs / Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome",27T1I13L6G,57574-09-1,D07335,34869.0,32091.0,50292474.0,17698.0,32499.0,CHEMBL418995,DCL000340,,ZINC000002001740
Roxadustat,phase 3 complete,DB04847,CC1=NC(C(=O)NCC(O)=O)=C(O)C2=C1C=C(OC1=CC=CC=C1)C=C2,"Amino Acids / Amino Acids, Peptides, and Proteins / Antianemic Preparations / Blood and Blood Forming Organs / Heterocyclic Compounds, Fused-Ring / Hypoxia-Inducible Factor-Proline Dioxygenases, antagonists & inhibitors",X3O30D9YMX,808118-40-3,D10593,11256664.0,9431690.0,50431015.0,,132774.0,CHEMBL2338329,,,ZINC000071257465
AZD0947,Not Available,DB04848,,,,,,,,,,,,,,
Cediranib,Not Available,DB04849 (DB12033),COC1=CC2=C(C=C1OCCCN1CCCC1)N=CN=C2OC1=C(F)C2=C(NC(C)=C2)C=C1,"Antineoplastic Agents / Antineoplastic and Immunomodulating Agents / Enzyme Inhibitors / Heterocyclic Compounds, Fused-Ring / Protein Kinase Inhibitors / Tyrosine Kinase Inhibitors",NQU9IPY4K9,288383-20-0,,9933475.0,8109103.0,50331096.0,,94782.0,CHEMBL491473,,,ZINC000003948085
Posizolid,Not Available,DB04850 (DB09032),OC[C@H](O)C(=O)N1CCC(=CC1)C1=C(F)C=C(C=C1F)N1C[C@H](COC2=NOC=C2)OC1=O,OATP1B1/SLCO1B1 Inhibitors / Oxazoles,82V2M8K24R,252260-06-3,,213049.0,184741.0,,,,CHEMBL131854,,,
Biricodar,Not Available,DB04851,COC1=CC(=CC(OC)=C1OC)C(=O)C(=O)N1CCCC[C@H]1C(=O)OC(CCCC1=CN=CC=C1)CCCC1=CN=CC=C1,P-glycoprotein inhibitors,3KG76X4KJK,159997-94-1,D03128,9963148.0,2301309.0,50109811.0,,135847.0,CHEMBL350775,,PA164924560,
Implitapide,Not Available,DB04852,CC1=NC2=C(C3=CC=CC=C3N2CC2=CC(=CC=C2)[C@H](C2CCCC2)C(=O)N[C@@H](CO)C2=CC=CC=C2)C(C)=C1,"Heterocyclic Compounds, Fused-Ring",Q70OH404HR,177469-96-4,,5745206.0,4676524.0,,,,CHEMBL2105804,,,ZINC000059676426
Binodenoson,phase 3 complete,DB04853,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=C(N\N=C\C3CCCCC3)N=C12,"Carbohydrates / Glycosides / Heterocyclic Compounds, Fused-Ring / Neurotransmitter Agents / Nucleic Acids, Nucleotides, and Nucleosides / Nucleosides / Purine Nucleosides / Purinergic Agents / Purinergic Agonists / Purinergic P1 Receptor Agonists / Purines / Ribonucleosides",LJA4M1L5LG,144348-08-3,D03120,9576912.0,7851353.0,50230152.0,,,CHEMBL1950554,,,
Dexloxiglumide,Not Available,DB04856,CCCCCN(CCCOC)C(=O)[C@@H](CCC(O)=O)NC(=O)C1=CC(Cl)=C(Cl)C=C1,"Acids, Acyclic / Cytochrome P-450 CYP2B6 Substrates / Cytochrome P-450 CYP2C9 Inhibitors / Cytochrome P-450 CYP2C9 Inhibitors (strength unknown) / Cytochrome P-450 CYP2C9 Substrates / Cytochrome P-450 CYP2E1 Substrates / Cytochrome P-450 CYP3A Substrates / Cytochrome P-450 CYP3A4 Substrates / Cytochrome P-450 CYP3A5 Substrates / Cytochrome P-450 Enzyme Inhibitors / Cytochrome P-450 Substrates / Fatty Acids / Fatty Acids, Volatile / Lipids / Valerates",69DY40RH9B,119817-90-2,,65937.0,59342.0,,,135747.0,CHEMBL550781,,,ZINC000003801027
Brasofensine,Not Available,DB04857,[H][C@@]12CC[C@@]([H])(N1C)[C@]([H])(\C=N\OC)[C@H](C2)C1=CC(Cl)=C(Cl)C=C1,"Amines / Heterocyclic Compounds, Fused-Ring / Hydroxylamines",1YP2S94RVH,171655-91-7,D03153,9614919.0,7888898.0,,,,CHEMBL2104184,,,
Tirapazamine,Not Available,DB04858,NC1=[N+]([O-])C2=C(C=CC=C2)[N+]([O-])=N1,Antineoplastic Agents / Cytochrome P-450 CYP2E1 Substrates / Cytochrome P-450 Substrates / Radiation-Sensitizing Agents / Triazines,1UD32YR59G,27314-97-2,D06167,33776.0,10437748.0,50226806.0,,78887.0,CHEMBL50882,,,ZINC000001607808
Zanapezil,Not Available,DB04859,O=C(CCC1CCN(CC2=CC=CC=C2)CC1)C1=CC2=C(CCCCN2)C=C1,"Heterocyclic Compounds, Fused-Ring",0A0800O89N,142852-50-4,,198752.0,172025.0,50037157.0,,,CHEMBL75013,,,
Isatoribine,Not Available,DB04860,NC1=NC(=O)C2=C(N1)N([C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C(=O)S2,"Carbohydrates / Glycosides / Heterocyclic Compounds, Fused-Ring / Nucleic Acids, Nucleotides, and Nucleosides / Nucleosides / Purine Nucleosides / Purines / Ribonucleosides",2DNT962H92,122970-40-5,,72231.0,65192.0,,,,CHEMBL2105116,,,ZINC000008214713
Merimepodib,Not Available,DB04862,COC1=C(C=CC(NC(=O)NC2=CC=CC(CNC(=O)O[C@H]3CCOC3)=C2)=C1)C1=CN=CO1,"Acids, Acyclic / Benzene Derivatives / IMP Dehydrogenase, antagonists & inhibitors",2ZL2BA06FU,198821-22-6,,153241.0,135060.0,50102249.0,,,CHEMBL304087,,,ZINC000003975663
Lefradafiban,Not Available,DB04863,[H][C@@]1(COC2=CC=C(C=C2)C2=CC=C(C=C2)C(=N)NC(=O)OC)C[C@@H](CC(=O)OC)C(=O)N1,"Antianginal Agents / Benzene Derivatives / Platelet Glycoprotein GPIIb-IIIa Complex, antagonists & inhibitors / Vasodilating Agents",0R4888YXR5,149503-79-7,,9576916.0,7851357.0,,,60634.0,CHEMBL2105032,,,
Halofuginone,Not Available,DB04866,[H][C@]1(O)CCCN[C@]1([H])CC(=O)CN1C=NC2=C(C=C(Cl)C(Br)=C2)C1=O,"Angiogenesis Inhibitors / Angiogenesis Modulating Agents / Anti-Infective Agents / Antineoplastic Agents / Antiparasitic Agents / Antiprotozoals / Coccidiostats / Enzyme Inhibitors / Growth Inhibitors / Growth Substances / Heterocyclic Compounds, Fused-Ring / Protein Synthesis Inhibitors / Quinazolines",L31MM1385E,55837-20-2,D04413,456390.0,401856.0,,,,CHEMBL1199540,,,ZINC000005784191
Lintitript,Not Available,DB04867,OC(=O)CN1C(=CC2=CC=CC=C12)C(=O)NC1=NC(=CS1)C1=CC=CC=C1Cl,"Heterocyclic Compounds, Fused-Ring / Hormone Antagonists / Hormones, Hormone Substitutes, and Hormone Antagonists / Indoles / Sulfur Compounds",3YFV00531K,136381-85-6,,122077.0,108883.0,82304.0,,92624.0,CHEMBL249973,,,ZINC000000537914
Olcegepant,Not Available,DB04869,NCCCC[C@H](NC(=O)[C@@H](CC1=CC(Br)=C(O)C(Br)=C1)NC(=O)N1CCC(CC1)N1CC2=C(NC1=O)C=CC=C2)C(=O)N1CCN(CC1)C1=CC=NC=C1,"Amino Acids, Peptides, and Proteins / Calcitonin Gene-Related Peptide, analogs & derivatives / Heterocyclic Compounds, Fused-Ring / Oligopeptides / Peptides / Receptors, Calcitonin Gene-Related Peptide, antagonists & inhibitors",WOA5J8TX6M,204697-65-4,,6918509.0,5293706.0,50184069.0,,,CHEMBL207197,,,ZINC000098052868
Oleoyl-estrone,phase 1 complete,DB04870,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC(=O)CCCCCCC\C=C/CCCCCCCC)C=C3,"17-Ketosteroids / Adrenal Cortex Hormones / Anti-Obesity Agents / Drug Carriers / Estradiol Congeners / Estranes / Estrenes / Fatty Acids / Fatty Acids, Monounsaturated / Fatty Acids, Unsaturated / Fused-Ring Compounds / Gonadal Hormones / Gonadal Steroid Hormones / Hormones / Hormones, Hormone Substitutes, and Hormone Antagonists / Ketosteroids / Lipids / Steroids",64R56KMG1Z,180003-17-2,,6918373.0,5293576.0,,,,,,,ZINC000014300189
Osanetant,Not Available,DB04872,CN(C(C)=O)C1(CCN(CCC[C@@]2(CCCN(C2)C(=O)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC=CC=C1,Antipsychotic Agents / Central Nervous System Agents / Central Nervous System Depressants / Neurotoxic agents / Psychotropic Drugs / Tranquilizing Agents,K7G81N94DT,160492-56-8,,219077.0,189901.0,50291261.0,,,CHEMBL346178,,,ZINC000003935475
Piboserod,Not Available,DB04873,CCCCN1CCC(CNC(=O)C2=C3OCCCN3C3=CC=CC=C23)CC1,"Heterocyclic Compounds, Fused-Ring",4UQ3S81B25,152811-62-6,,177336.0,154413.0,85026.0,,,CHEMBL356359,,,ZINC000001537633
Picoplatin,Not Available,DB04874,N.[Cl-].[Cl-].[Pt++].CC1=CC=CC=N1,Organometallic Compounds,B5TAN0L720,181630-15-9,,177358.0,154428.0,,,,,,,
